,dates,values
83,2010-03-25,324.9
84,2010-03-26,309.8
85,2010-03-27,239.6
86,2010-03-28,234.2
87,2010-03-29,134.60000000000002
88,2010-03-30,217.29999999999998
89,2010-03-31,266.2
90,2010-04-01,269.20000000000005
91,2010-04-02,265.70000000000005
92,2010-04-03,238.0
93,2010-04-04,229.70000000000002
94,2010-04-05,258.4
95,2010-04-06,140.0
96,2010-04-07,115.0
97,2010-04-08,238.60000000000002
98,2010-04-09,137.0
99,2010-04-10,126.8
100,2010-04-11,147.2
101,2010-04-12,169.7
102,2010-04-13,218.2
103,2010-04-14,195.5
104,2010-04-15,231.29999999999998
105,2010-04-16,237.60000000000002
106,2010-04-17,223.29999999999998
107,2010-04-18,203.5
108,2010-04-19,197.3
109,2010-04-20,180.6
110,2010-04-21,212.3
111,2010-04-22,222.8
112,2010-04-23,186.2
113,2010-04-24,80.60000000000001
114,2010-04-25,193.3
115,2010-04-26,188.20000000000002
116,2010-04-27,95.10000000000001
117,2010-04-28,181.8
118,2010-04-29,133.79999999999998
119,2010-04-30,162.6
120,2010-05-01,181.20000000000002
121,2010-05-02,179.50000000000003
122,2010-05-03,169.79999999999998
123,2010-05-04,170.29999999999998
124,2010-05-05,142.89999999999998
125,2010-05-06,87.89999999999999
126,2010-05-07,129.8
127,2010-05-08,144.70000000000002
128,2010-05-09,145.4
129,2010-05-10,152.8
130,2010-05-11,137.9
131,2010-05-12,139.4
132,2010-05-13,131.2
133,2010-05-14,112.10000000000002
134,2010-05-15,121.80000000000001
135,2010-05-16,103.4
136,2010-05-17,75.00000000000001
137,2010-05-18,112.0
138,2010-05-19,116.2
139,2010-05-20,61.0
140,2010-05-21,104.9
141,2010-05-22,97.50000000000001
142,2010-05-23,101.89999999999999
143,2010-05-24,51.6
144,2010-05-25,50.5
145,2010-05-26,89.7
146,2010-05-27,81.5
147,2010-05-28,60.900000000000006
148,2010-05-29,84.9
149,2010-05-30,61.800000000000004
150,2010-05-31,111.30000000000001
151,2010-06-01,85.00000000000001
152,2010-06-02,105.39999999999999
153,2010-06-03,99.10000000000001
154,2010-06-04,95.5
155,2010-06-05,87.5
156,2010-06-06,87.2
157,2010-06-07,93.10000000000001
158,2010-06-08,75.5
159,2010-06-09,38.699999999999996
160,2010-06-10,85.5
161,2010-06-11,49.699999999999996
162,2010-06-12,96.39999999999999
163,2010-06-13,92.89999999999999
164,2010-06-14,96.39999999999999
165,2010-06-15,68.89999999999999
166,2010-06-16,60.4
167,2010-06-17,47.400000000000006
168,2010-06-18,64.2
169,2010-06-19,56.20000000000001
170,2010-06-20,67.89999999999999
171,2010-06-21,73.40000000000002
172,2010-06-22,54.0
173,2010-06-23,66.8
174,2010-06-24,96.1
175,2010-06-25,55.0
176,2010-06-26,58.89999999999999
177,2010-06-27,70.19999999999999
178,2010-06-28,61.8
179,2010-06-29,40.00000000000001
180,2010-06-30,54.7
181,2010-07-01,75.5
182,2010-07-02,37.7
183,2010-07-03,71.8
184,2010-07-04,44.900000000000006
185,2010-07-05,67.1
186,2010-07-06,43.400000000000006
187,2010-07-07,44.8
188,2010-07-08,99.00000000000001
189,2010-07-09,100.00000000000001
190,2010-07-10,41.1
191,2010-07-11,69.19999999999999
192,2010-07-12,86.8
193,2010-07-13,40.7
194,2010-07-14,60.900000000000006
195,2010-07-15,83.60000000000001
196,2010-07-16,77.8
197,2010-07-17,92.4
198,2010-07-18,94.30000000000001
199,2010-07-19,53.8
200,2010-07-20,99.70000000000002
201,2010-07-21,106.6
202,2010-07-22,105.1
203,2010-07-23,139.3
204,2010-07-24,118.8
205,2010-07-25,97.1
206,2010-07-26,138.1
207,2010-07-27,122.4
208,2010-07-28,64.79999999999998
209,2010-07-29,44.900000000000006
210,2010-07-30,46.6
211,2010-07-31,96.4
212,2010-08-01,81.50000000000001
213,2010-08-02,62.4
214,2010-08-03,149.7
215,2010-08-04,60.5
